1, 2, WinRate, Win, Defeat
155, 156,51.52 ,5035, 4737
135, 137,59.54 ,5104, 3469
27, 44,39.87 ,3486, 5257
133, 153,55.29 ,805, 651
25, 44,40.43 ,5484, 8081
9, 21,43.21 ,5609, 7373
166, 171,60.11 ,3971, 2635
148, 175,64.01 ,3443, 1936
19, 30,41.92 ,3563, 4937
6, 9,53.1 ,5705, 5039
131, 178,49.72 ,614, 621
155, 169,54.51 ,3578, 2986
167, 175,64.49 ,1193, 657
22, 27,45.57 ,2511, 2999
2, 5,42.79 ,3662, 4897
149, 152,57.06 ,5197, 3911
7, 11,38.43 ,3469, 5558
131, 176,52.31 ,2702, 2463
147, 156,51.77 ,5903, 5499
3, 9,47.6 ,2016, 2219
144, 164,60.79 ,4500, 2902
18, 39,41.61 ,4584, 6433
143, 170,58.28 ,1116, 799
136, 178,73.91 ,1615, 570
9, 44,41.86 ,6324, 8783
14, 67,39.13 ,7628, 11868
137, 197,55.56 ,5667, 4533
19, 40,45.65 ,2328, 2772
9, 34,41.49 ,1599, 2255
1, 22,40.71 ,5369, 7820
135, 147,57.85 ,5130, 3737
13, 32,42.01 ,502, 693
167, 174,57.77 ,3755, 2745
157, 168,62.27 ,916, 555
21, 34,39.28 ,1833, 2834
1, 41,28.83 ,531, 1311
6, 71,49.01 ,2540, 2643
8, 31,47.39 ,8183, 9086
135, 151,58.87 ,8812, 6157
3, 5,41.58 ,294, 413
194, 199,54.1 ,2018, 1712
1, 27,38.58 ,3238, 5156
152, 161,58.5 ,4241, 3009
144, 161,58.73 ,7675, 5394
134, 151,63.66 ,3288, 1877
149, 161,56.77 ,5099, 3883
3, 8,45.64 ,2191, 2610
8, 29,47.87 ,3850, 4193
149, 151,54.88 ,8245, 6780
181, 185,64.53 ,804, 442
147, 149,52.84 ,4302, 3840
8, 39,43.0 ,7055, 9352
158, 174,56.14 ,7503, 5862
151, 172,56.73 ,4937, 3766
169, 172,53.88 ,2727, 2334
14, 46,39.03 ,3130, 4889
143, 155,52.94 ,1511, 1343
44, 52,41.72 ,1255, 1753
131, 162,54.34 ,952, 800
16, 20,46.58 ,1022, 1172
22, 36,45.79 ,1670, 1977
146, 174,54.36 ,3824, 3211
8, 26,41.46 ,10843, 15312
30, 38,45.45 ,780, 936
148, 151,59.49 ,10806, 7357
10, 43,40.16 ,359, 535
149, 173,57.48 ,830, 614
9, 95,46.07 ,1688, 1976
5, 28,44.12 ,3434, 4350
140, 147,54.34 ,2331, 1959
149, 215,56.98 ,2289, 1728
3, 22,47.88 ,1244, 1354
140, 155,55.15 ,4294, 3492
2, 7,38.36 ,2153, 3459
161, 189,65.63 ,1367, 716
51, 67,44.83 ,3375, 4153
140, 153,51.24 ,1679, 1598
8, 30,44.59 ,7257, 9018
156, 158,54.91 ,6436, 5285
21, 53,37.41 ,2027, 3391
158, 201,55.29 ,1668, 1349
140, 197,57.27 ,2485, 1854
4, 8,51.89 ,2671, 2476
37, 47,48.26 ,941, 1009
11, 28,41.18 ,3316, 4737
19, 56,50.05 ,2767, 2761
23, 37,41.22 ,887, 1265
170, 197,61.84 ,3989, 2462
152, 153,52.08 ,1538, 1415
1, 30,39.38 ,4701, 7236
170, 171,59.41 ,4416, 3017
8, 54,32.67 ,477, 983
144, 152,60.76 ,9989, 6451
1, 19,38.1 ,5613, 9118
17, 43,46.25 ,179, 208
138, 148,59.17 ,2068, 1427
28, 51,44.28 ,1346, 1694
165, 187,56.98 ,302, 228
39, 40,40.9 ,1836, 2653
11, 57,42.1 ,458, 630
156, 193,53.11 ,2112, 1865
2, 35,38.07 ,1430, 2326
134, 137,62.26 ,1798, 1090
13, 19,39.1 ,1797, 2799
41, 55,41.47 ,883, 1246
184, 206,49.24 ,875, 902
7, 86,37.42 ,3129, 5233
174, 175,60.3 ,3837, 2526
133, 136,66.52 ,2062, 1038
19, 31,43.06 ,3942, 5213
135, 173,61.15 ,924, 587
137, 168,60.5 ,925, 604
5, 48,45.86 ,1558, 1839
139, 146,61.13 ,3857, 2453
159, 160,58.55 ,2671, 1891
177, 214,67.56 ,4579, 2199
7, 67,39.04 ,3909, 6105
10, 11,35.04 ,1911, 3542
138, 153,56.93 ,4558, 3449
30, 39,38.88 ,3264, 5131
133, 151,58.19 ,2671, 1919
135, 187,61.29 ,597, 377
19, 35,35.45 ,1259, 2292
161, 183,54.7 ,1529, 1266
150, 166,64.78 ,1350, 734
133, 148,61.8 ,2092, 1293
8, 85,47.14 ,3604, 4041
1, 31,41.9 ,4932, 6840
1, 16,38.05 ,2557, 4163
167, 169,56.51 ,2436, 1875
25, 31,42.13 ,2891, 3971
148, 157,59.23 ,4401, 3029
171, 179,54.81 ,1549, 1277
32, 69,37.68 ,488, 807
132, 191,70.18 ,1146, 487
39, 50,39.37 ,1452, 2236
190, 194,61.32 ,2532, 1597
40, 51,49.97 ,1675, 1677
171, 176,57.08 ,3373, 2536
158, 243,60.79 ,2298, 1482
137, 142,52.95 ,2172, 1930
138, 180,57.54 ,4087, 3016
26, 47,41.41 ,2599, 3678
32, 42,42.2 ,495, 678
17, 21,39.51 ,4117, 6303
176, 190,60.07 ,1256, 835
44, 107,39.64 ,2821, 4295
6, 31,50.2 ,3595, 3566
131, 167,55.66 ,3572, 2846
151, 162,60.74 ,3074, 1987
179, 186,62.07 ,702, 429
2, 10,40.31 ,2923, 4329
17, 23,33.73 ,567, 1114
142, 164,54.36 ,742, 623
1, 17,37.04 ,4328, 7356
151, 171,55.58 ,12433, 9937
44, 68,43.43 ,2745, 3575
148, 181,61.47 ,4544, 2848
13, 84,44.24 ,2760, 3479
189, 197,60.09 ,1516, 1007
10, 37,43.4 ,1748, 2280
161, 173,59.82 ,813, 546
39, 83,42.62 ,2251, 3030
142, 214,57.53 ,2567, 1895
44, 55,40.03 ,811, 1215
143, 149,51.79 ,2327, 2166
7, 68,42.86 ,1768, 2357
27, 36,47.39 ,1435, 1593
26, 39,34.1 ,4556, 8803
161, 170,61.64 ,2235, 1391
38, 74,46.59 ,1497, 1716
8, 34,45.54 ,3014, 3604
139, 143,56.26 ,2292, 1782
6, 18,46.47 ,1370, 1578
